order_id,order_datetime,order_date,order_hour,day_of_week,day_type,is_peak_hour,store_id,store_name,store_area,store_lat,store_lon,customer_lat,customer_lon,distance_km,num_items,order_value,delivery_charge,total_amount,prep_time_mins,delivery_time_mins,delivery_status,customer_rating,payment_method
ORD000048,2024-11-09 07:15:37,2024-11-09,7,Saturday,Weekend,1,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.949661,80.152993,4.1,4,440,0,440,4.0,19.1,Delivered,4.3,UPI
ORD000049,2024-12-15 21:43:42,2024-12-15,21,Sunday,Weekend,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.96247,80.246277,0.3,2,175,25,200,3.1,4.6,Delivered,5.0,UPI
ORD000050,2024-11-19 16:08:55,2024-11-19,16,Tuesday,Weekday,0,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.077211,80.230442,2.68,7,402,0,402,3.5,11.0,Delivered,4.3,UPI
ORD000051,2024-12-27 12:18:06,2024-12-27,12,Friday,Weekday,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.978134,80.233577,1.42,3,465,0,465,3.6,9.1,Delivered,4.9,Card
ORD000052,2024-11-01 18:17:05,2024-11-01,18,Friday,Weekday,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.973651,80.236513,1.62,3,565,0,565,3.6,13.6,Delivered,4.7,Cash on Delivery
ORD000053,2024-11-04 09:11:39,2024-11-04,9,Monday,Weekday,1,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.900472,80.131057,2.52,5,520,0,520,2.0,16.1,Delivered,3.7,UPI
ORD000054,2025-01-03 21:05:47,2025-01-03,21,Friday,Weekday,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.968415,80.23674,1.87,6,836,0,836,3.6,12.7,Delivered,4.8,Card
ORD000055,2024-11-23 12:32:26,2024-11-23,12,Saturday,Weekend,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.885967,80.252587,3.21,7,1909,0,1909,3.1,12.9,Delivered,4.6,UPI
ORD000056,2024-12-03 18:19:31,2024-12-03,18,Tuesday,Weekday,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.95202,80.248462,1.13,7,875,0,875,2.4,10.6,Delivered,4.5,Cash on Delivery
ORD000057,2024-12-30 16:03:41,2024-12-30,16,Monday,Weekday,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.946351,80.247451,1.68,3,575,0,575,3.0,8.5,Delivered,4.8,UPI
ORD000058,2024-11-11 09:33:28,2024-11-11,9,Monday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.968341,80.221954,2.57,7,795,0,795,3.6,22.8,Delivered,4.2,Card
ORD000059,2025-01-12 12:04:03,2025-01-12,12,Sunday,Weekend,1,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.088896,80.187599,2.35,2,190,25,215,3.2,13.0,Delivered,4.7,UPI
ORD000060,2024-12-19 22:14:51,2024-12-19,22,Thursday,Weekday,0,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.887712,80.21106,2.38,3,615,0,615,3.4,11.7,Delivered,4.2,UPI
ORD000061,2024-12-12 21:18:42,2024-12-12,21,Thursday,Weekday,1,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.027272,80.246709,2.56,3,130,25,155,2.0,11.9,Delivered,4.3,Card
ORD000062,2024-11-20 14:20:46,2024-11-20,14,Wednesday,Weekday,0,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.081167,80.210387,0.76,1,25,25,50,2.0,4.1,Delivered,4.6,Card
ORD000063,2025-01-19 13:08:13,2025-01-19,13,Sunday,Weekend,1,DS008,Mylapore Hub,Mylapore,13.0339,80.2619,13.05726,80.273332,2.89,4,448,0,448,2.2,10.5,Delayed,3.3,UPI
ORD000064,2025-01-06 09:31:34,2025-01-06,9,Monday,Weekday,1,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.074408,80.208237,1.49,3,186,25,211,3.3,12.5,Delivered,4.2,UPI
ORD000065,2024-11-11 16:31:40,2024-11-11,16,Monday,Weekday,0,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.916416,80.251085,3.09,4,497,0,497,1.9,15.1,Delivered,3.7,UPI
ORD000066,2025-01-29 20:19:11,2025-01-29,20,Wednesday,Weekday,1,DS001,T Nagar Hub,T Nagar,13.0418,80.2341,13.024544,80.238846,1.99,3,142,25,167,2.7,14.8,Delivered,4.7,UPI
ORD000067,2024-11-16 19:09:30,2024-11-16,19,Saturday,Weekend,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.948568,80.263734,2.6,1,475,0,475,3.1,20.0,Delayed,2.9,Cash on Delivery
ORD000068,2024-11-02 07:53:09,2024-11-02,7,Saturday,Weekend,1,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.937472,80.137803,1.98,1,85,25,110,3.5,9.9,Delivered,4.8,UPI
ORD000069,2025-01-05 12:43:30,2025-01-05,12,Sunday,Weekend,1,DS008,Mylapore Hub,Mylapore,13.0339,80.2619,13.047458,80.270549,1.79,2,175,25,200,2.7,8.1,Delivered,4.9,Card
ORD000070,2025-01-15 17:12:57,2025-01-15,17,Wednesday,Weekday,0,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.062495,80.1992,3.0,1,95,25,120,2.1,18.8,Delivered,4.3,UPI
ORD000071,2024-12-07 20:50:32,2024-12-07,20,Saturday,Weekend,1,DS006,Nungambakkam Hub,Nungambakkam,13.0569,80.2425,13.040128,80.240342,1.88,2,205,0,205,2.3,13.8,Delivered,4.7,UPI
ORD000072,2025-01-25 07:45:02,2025-01-25,7,Saturday,Weekend,1,DS001,T Nagar Hub,T Nagar,13.0418,80.2341,13.040463,80.237392,0.39,2,170,25,195,3.7,3.7,Delivered,4.9,UPI
ORD000073,2024-12-29 07:58:11,2024-12-29,7,Sunday,Weekend,1,DS008,Mylapore Hub,Mylapore,13.0339,80.2619,13.027406,80.236816,2.88,1,52,25,77,4.0,11.2,Delayed,3.7,UPI
ORD000074,2025-01-09 20:06:00,2025-01-09,20,Thursday,Weekday,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.924141,80.233712,2.65,2,81,25,106,2.9,23.6,Delivered,4.0,UPI
ORD000075,2024-12-25 20:49:55,2024-12-25,20,Wednesday,Weekday,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.966843,80.198087,2.72,5,850,0,850,2.6,20.7,Delayed,3.3,Card
ORD000076,2025-01-29 09:30:51,2025-01-29,9,Wednesday,Weekday,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.908145,80.236794,1.27,2,172,25,197,3.0,11.3,Delayed,2.9,UPI
ORD000077,2024-11-26 17:00:58,2024-11-26,17,Tuesday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.997721,80.21633,2.58,2,67,25,92,1.8,15.6,Delayed,2.7,Card
ORD000078,2024-11-28 17:03:15,2024-11-28,17,Thursday,Weekday,0,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.078072,80.230846,2.68,5,600,0,600,2.8,12.2,Delivered,4.7,UPI
ORD000079,2024-11-16 11:18:52,2024-11-16,11,Saturday,Weekend,0,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.013331,80.240676,1.98,2,570,0,570,2.4,8.1,Delivered,4.5,UPI
ORD000080,2024-11-01 08:31:17,2024-11-01,8,Friday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.981861,80.269553,3.66,2,215,0,215,4.0,25.5,Delayed,3.8,UPI
ORD000081,2024-12-31 13:28:59,2024-12-31,13,Tuesday,Weekday,1,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.017551,80.260762,1.27,1,42,25,67,2.9,5.7,Delivered,4.6,UPI
ORD000082,2025-01-24 09:47:46,2025-01-24,9,Friday,Weekday,1,DS001,T Nagar Hub,T Nagar,13.0418,80.2341,13.042902,80.256418,2.48,4,294,0,294,2.8,16.3,Delayed,3.0,Card
ORD000083,2024-12-18 01:02:49,2024-12-18,1,Wednesday,Weekday,0,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.007305,80.259095,0.3,3,327,0,327,3.7,3.7,Delivered,4.5,UPI
ORD000084,2024-12-19 10:34:20,2024-12-19,10,Thursday,Weekday,0,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.916588,80.116134,1.44,4,355,0,355,3.5,10.1,Delivered,4.4,UPI
ORD000085,2024-12-25 18:46:00,2024-12-25,18,Wednesday,Weekday,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.986076,80.254064,2.99,4,375,0,375,2.6,17.0,Delivered,4.1,UPI
ORD000086,2024-12-20 12:03:44,2024-12-20,12,Friday,Weekday,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.919927,80.227139,2.1,2,225,0,225,2.6,10.7,Delivered,4.1,Cash on Delivery
ORD000087,2024-11-24 08:57:20,2024-11-24,8,Sunday,Weekend,1,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.001655,80.240005,1.99,3,211,0,211,2.3,12.3,Delivered,4.0,Card
ORD000088,2024-12-06 20:56:41,2024-12-06,20,Friday,Weekday,1,DS001,T Nagar Hub,T Nagar,13.0418,80.2341,13.054545,80.228341,1.55,2,343,0,343,4.0,12.6,Delivered,4.4,Card
ORD000089,2024-12-11 13:12:48,2024-12-11,13,Wednesday,Weekday,1,DS011,Vadapalani Hub,Vadapalani,13.0502,80.2121,13.030127,80.19632,2.83,3,325,0,325,4.1,12.8,Delivered,4.3,Card
ORD000090,2025-01-28 08:02:35,2025-01-28,8,Tuesday,Weekday,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.97868,80.19995,2.39,3,360,0,360,2.4,15.7,Delivered,4.1,UPI
ORD000091,2024-12-08 07:01:53,2024-12-08,7,Sunday,Weekend,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.974778,80.224292,0.34,5,750,0,750,4.2,4.8,Delivered,4.8,Card
ORD000092,2024-12-27 11:26:57,2024-12-27,11,Friday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.957884,80.21633,1.98,2,95,25,120,2.6,11.2,Delivered,4.7,UPI
ORD000093,2024-11-18 11:37:05,2024-11-18,11,Monday,Weekday,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.944825,80.23964,1.87,3,288,0,288,3.1,7.7,Delivered,4.9,UPI
ORD000094,2024-11-01 07:47:10,2024-11-01,7,Friday,Weekday,1,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.065992,80.195193,2.85,3,935,0,935,2.0,14.4,Delayed,3.1,UPI
ORD000095,2024-12-25 09:36:07,2024-12-25,9,Wednesday,Weekday,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.911145,80.210913,2.2,3,82,25,107,4.0,17.0,Delayed,2.7,UPI
ORD000096,2024-12-02 19:49:50,2024-12-02,19,Monday,Weekday,1,DS006,Nungambakkam Hub,Nungambakkam,13.0569,80.2425,13.042893,80.218296,3.1,2,100,25,125,2.5,22.0,Delayed,2.8,UPI
ORD000097,2025-01-29 15:48:16,2025-01-29,15,Wednesday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.99936,80.246848,3.93,6,380,0,380,2.2,17.8,Delivered,3.4,UPI
ORD000098,2024-12-23 09:27:48,2024-12-23,9,Monday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.934857,80.255255,3.17,1,240,0,240,2.0,23.2,Delivered,3.4,UPI
ORD000099,2025-01-18 06:20:23,2025-01-18,6,Saturday,Weekend,0,DS004,Adyar Hub,Adyar,13.0067,80.2572,13.015209,80.273738,2.06,6,520,0,520,2.1,8.5,Delivered,4.8,Cash on Delivery
ORD000100,2024-12-17 16:48:10,2024-12-17,16,Tuesday,Weekday,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.948809,80.240569,1.41,3,117,25,142,3.9,8.5,Delivered,4.5,Card
ORD000101,2025-01-25 11:52:22,2025-01-25,11,Saturday,Weekend,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.983468,80.257051,2.88,4,700,0,700,3.4,10.7,Delivered,4.1,UPI
ORD000102,2024-11-25 14:41:53,2024-11-25,14,Monday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.973986,80.207673,1.51,3,300,0,300,2.3,8.9,Delivered,4.9,UPI
ORD000103,2024-12-25 19:43:08,2024-12-25,19,Wednesday,Weekday,1,DS007,Sholinganallur Hub,Sholinganallur,12.901,80.2279,12.91258,80.252387,3.01,3,235,0,235,1.8,21.9,Delayed,3.4,Cash on Delivery
ORD000104,2024-11-10 09:03:54,2024-11-10,9,Sunday,Weekend,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.98761,80.219901,3.97,1,150,25,175,3.2,27.5,Delayed,3.2,UPI
ORD000105,2025-01-25 08:11:05,2025-01-25,8,Saturday,Weekend,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.976448,80.199882,2.37,9,1855,0,1855,4.0,15.2,Delayed,2.6,UPI
ORD000106,2024-12-03 09:37:32,2024-12-03,9,Tuesday,Weekday,1,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.960143,80.232379,1.28,1,185,25,210,4.2,9.7,Delayed,2.5,UPI
ORD000107,2025-01-28 13:07:06,2025-01-28,13,Tuesday,Weekday,1,DS006,Nungambakkam Hub,Nungambakkam,13.0569,80.2425,13.033005,80.227571,3.13,3,143,25,168,2.8,14.9,Delivered,4.7,Card
ORD000108,2025-01-14 20:12:09,2025-01-14,20,Tuesday,Weekday,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.977061,80.235411,1.59,1,295,0,295,3.0,12.2,Delivered,4.5,UPI
ORD000109,2024-11-09 09:48:23,2024-11-09,9,Saturday,Weekend,1,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.89793,80.137919,3.0,3,635,0,635,2.9,21.3,Delayed,2.6,UPI
ORD000110,2024-11-16 06:55:56,2024-11-16,6,Saturday,Weekend,0,DS012,Thiruvanmiyur Hub,Thiruvanmiyur,12.983,80.2595,13.007893,80.266014,2.86,3,460,0,460,2.6,12.4,Delivered,4.3,Cash on Delivery
ORD000111,2024-11-21 22:42:22,2024-11-21,22,Thursday,Weekday,0,DS003,Velachery Hub,Velachery,12.975,80.2212,12.994234,80.20251,2.98,1,32,25,57,3.6,10.4,Delivered,4.1,Cash on Delivery
ORD000112,2025-01-29 09:53:14,2025-01-29,9,Wednesday,Weekday,1,DS004,Adyar Hub,Adyar,13.0067,80.2572,12.985388,80.263759,2.48,1,350,0,350,2.4,13.9,Delivered,4.8,UPI
ORD000113,2024-12-27 11:44:03,2024-12-27,11,Friday,Weekday,0,DS012,Thiruvanmiyur Hub,Thiruvanmiyur,12.983,80.2595,13.000711,80.251756,2.15,4,410,0,410,3.8,8.7,Delivered,4.5,UPI
ORD000114,2024-11-03 14:13:49,2024-11-03,14,Sunday,Weekend,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.943382,80.236833,2.12,4,340,0,340,2.3,9.7,Delivered,4.6,UPI
ORD000115,2024-12-08 22:41:51,2024-12-08,22,Sunday,Weekend,0,DS005,Perungudi Hub,Perungudi,12.9611,80.2439,12.944943,80.26346,2.82,3,365,0,365,2.4,11.9,Delivered,4.1,Card
ORD000116,2024-12-17 09:10:02,2024-12-17,9,Tuesday,Weekday,1,DS004,Adyar Hub,Adyar,13.0067,80.2572,12.994498,80.265758,1.65,2,255,0,255,4.0,13.7,Delivered,4.6,UPI
ORD000117,2024-11-21 01:39:47,2024-11-21,1,Thursday,Weekday,0,DS004,Adyar Hub,Adyar,13.0067,80.2572,12.986132,80.266837,2.52,1,250,0,250,2.7,8.5,Delivered,4.6,UPI
ORD000118,2024-11-02 20:14:42,2024-11-02,20,Saturday,Weekend,1,DS003,Velachery Hub,Velachery,12.975,80.2212,12.987844,80.241526,2.67,1,35,25,60,3.3,16.8,Delayed,3.0,UPI
ORD000119,2025-01-09 00:42:29,2025-01-09,0,Thursday,Weekday,0,DS010,Tambaram Hub,Tambaram,12.9229,80.1275,12.929237,80.129051,0.72,2,95,25,120,2.5,5.4,Delivered,4.9,Cash on Delivery
ORD000120,2025-01-23 19:39:25,2025-01-23,19,Thursday,Weekday,1,DS012,Thiruvanmiyur Hub,Thiruvanmiyur,12.983,80.2595,13.002318,80.270837,2.49,7,607,0,607,4.0,16.8,Delayed,2.6,Cash on Delivery
ORD000121,2024-12-19 18:10:49,2024-12-19,18,Thursday,Weekday,0,DS002,Anna Nagar Hub,Anna Nagar,13.0878,80.2087,13.086771,80.208563,0.3,4,610,0,610,3.1,4.3,Delivered,4.8,UPI
