inventory_id,store_id,store_area,store_demand_level,product_id,product_name,category,price,demand_frequency,storage_type,current_stock,optimal_stock,reorder_point,stock_status,avg_daily_sales,total_sold_90days,num_orders_90days,stockout_incidents,days_until_stockout,last_restock_date,inventory_value
INV00000016,DS001,T Nagar,High,P0016,Amul Processed Cheese Block 200g,"Dairy, Bread & Eggs",110,High,Refrigerated,7,7,3,In Stock,1.2,108,75,2,5.8,2026-02-11,770
INV00000017,DS001,T Nagar,High,P0017,Mother Dairy Paneer 200g,"Dairy, Bread & Eggs",95,Medium,Refrigerated,2,5,3,Low Stock,0.4,36,20,1,5.0,2026-02-11,190
INV00000018,DS001,T Nagar,High,P0018,Amul Fresh Paneer 200g,"Dairy, Bread & Eggs",90,High,Refrigerated,7,8,3,In Stock,1.23,111,76,1,5.7,2026-02-14,630
INV00000019,DS001,T Nagar,High,P0019,Nandini Paneer 200g,"Dairy, Bread & Eggs",85,High,Refrigerated,10,10,3,In Stock,1.48,133,90,0,6.8,2026-02-09,850
INV00000020,DS001,T Nagar,High,P0020,Farm Fresh White Eggs 6 pcs,"Dairy, Bread & Eggs",48,High,Refrigerated,3,9,3,Low Stock,1.34,121,78,1,2.2,2026-02-13,144
INV00000021,DS001,T Nagar,High,P0021,Farm Fresh Brown Eggs 6 pcs,"Dairy, Bread & Eggs",60,High,Refrigerated,7,9,3,In Stock,1.6,144,89,2,4.4,2026-02-11,420
INV00000022,DS001,T Nagar,High,P0022,Farm Fresh White Eggs 10 pcs,"Dairy, Bread & Eggs",75,High,Refrigerated,6,8,3,In Stock,1.22,110,71,0,4.9,2026-02-13,450
INV00000023,DS001,T Nagar,High,P0023,Amul Kool Milk Drink 200ml,"Dairy, Bread & Eggs",20,High,Refrigerated,6,9,3,In Stock,1.43,129,85,2,4.2,2026-02-10,120
INV00000024,DS001,T Nagar,High,P0024,Amul Lassi 200ml,"Dairy, Bread & Eggs",25,High,Refrigerated,5,9,3,In Stock,1.43,129,82,2,3.5,2026-02-12,125
INV00000025,DS001,T Nagar,High,P0025,Mother Dairy Mishti Doi 400g,"Dairy, Bread & Eggs",42,Medium,Refrigerated,5,5,3,In Stock,0.51,46,29,2,9.8,2026-02-10,210
INV00000026,DS001,T Nagar,High,P0026,Britannia Bread Large,"Dairy, Bread & Eggs",40,High,Refrigerated,7,7,3,In Stock,1.1,99,75,2,6.4,2026-02-13,280
INV00000027,DS001,T Nagar,High,P0027,Modern Bread Sandwich,"Dairy, Bread & Eggs",45,Medium,Refrigerated,5,5,3,In Stock,0.57,51,35,1,8.8,2026-02-11,225
INV00000028,DS001,T Nagar,High,P0028,Harvest Gold Bread,"Dairy, Bread & Eggs",42,High,Refrigerated,9,10,3,In Stock,1.39,125,78,2,6.5,2026-02-15,378
INV00000029,DS001,T Nagar,High,P0029,English Oven Brown Bread,"Dairy, Bread & Eggs",50,High,Refrigerated,23,22,6,In Stock,0.0,0,0,0,999.0,2026-02-12,1150
INV00000030,DS001,T Nagar,High,P0030,Onion 1kg,Fruits & Vegetables,35,High,Ambient,4,5,3,In Stock,0.72,65,65,0,5.6,2026-02-14,140
INV00000031,DS001,T Nagar,High,P0031,Tomato 1kg,Fruits & Vegetables,45,High,Ambient,5,6,3,In Stock,0.78,70,70,2,6.4,2026-02-13,225
INV00000032,DS001,T Nagar,High,P0032,Potato 1kg,Fruits & Vegetables,28,High,Ambient,6,7,3,In Stock,0.96,86,86,1,6.2,2026-02-11,168
INV00000033,DS001,T Nagar,High,P0033,Green Chilli 100g,Fruits & Vegetables,15,High,Ambient,2,5,3,Low Stock,0.7,63,63,1,2.9,2026-02-12,30
INV00000034,DS001,T Nagar,High,P0034,Ginger 200g,Fruits & Vegetables,40,High,Ambient,5,6,3,In Stock,0.88,79,79,0,5.7,2026-02-10,200
INV00000035,DS001,T Nagar,High,P0035,Garlic 250g,Fruits & Vegetables,55,High,Ambient,2,5,3,Low Stock,0.83,75,75,1,2.4,2026-02-15,110
INV00000036,DS001,T Nagar,High,P0036,Coriander Leaves 100g,Fruits & Vegetables,15,High,Refrigerated,6,6,3,In Stock,0.81,73,73,2,7.4,2026-02-11,90
INV00000037,DS001,T Nagar,High,P0037,Curry Leaves 100g,Fruits & Vegetables,20,High,Refrigerated,3,5,3,Low Stock,0.76,68,68,0,3.9,2026-02-09,60
INV00000038,DS001,T Nagar,High,P0038,Lemon 250g (4-5pcs),Fruits & Vegetables,25,High,Ambient,4,5,3,In Stock,0.78,70,70,0,5.1,2026-02-12,100
INV00000039,DS001,T Nagar,High,P0039,Carrot 500g,Fruits & Vegetables,30,High,Ambient,4,5,3,In Stock,0.86,77,77,1,4.7,2026-02-09,120
INV00000040,DS001,T Nagar,High,P0040,Beans 500g,Fruits & Vegetables,45,High,Ambient,5,5,3,In Stock,0.77,69,69,1,6.5,2026-02-13,225
INV00000041,DS001,T Nagar,High,P0041,Capsicum Green 500g,Fruits & Vegetables,50,High,Ambient,4,5,3,In Stock,0.77,69,69,1,5.2,2026-02-15,200
INV00000042,DS001,T Nagar,High,P0042,Cabbage 1pc,Fruits & Vegetables,35,High,Ambient,6,6,3,In Stock,0.82,74,74,1,7.3,2026-02-10,210
INV00000043,DS001,T Nagar,High,P0043,Cauliflower 1pc,Fruits & Vegetables,40,High,Ambient,5,6,3,In Stock,1.04,94,94,2,4.8,2026-02-15,200
INV00000044,DS001,T Nagar,High,P0044,Brinjal 500g,Fruits & Vegetables,35,High,Ambient,2,6,3,Low Stock,0.8,72,72,0,2.5,2026-02-10,70
INV00000045,DS001,T Nagar,High,P0045,Ladies Finger 500g,Fruits & Vegetables,40,High,Ambient,4,5,3,In Stock,0.68,61,61,1,5.9,2026-02-09,160
INV00000046,DS001,T Nagar,High,P0046,Beetroot 500g,Fruits & Vegetables,35,High,Ambient,4,5,3,In Stock,0.64,58,58,1,6.2,2026-02-12,140
INV00000047,DS001,T Nagar,High,P0047,Radish White 500g,Fruits & Vegetables,30,High,Ambient,5,5,3,In Stock,0.74,67,67,0,6.8,2026-02-12,150
INV00000048,DS001,T Nagar,High,P0048,Bottle Gourd 1pc,Fruits & Vegetables,35,High,Ambient,2,5,3,Low Stock,0.68,61,61,0,2.9,2026-02-11,70
INV00000049,DS001,T Nagar,High,P0049,Bitter Gourd 500g,Fruits & Vegetables,45,High,Ambient,4,5,3,In Stock,0.71,64,64,1,5.6,2026-02-15,180
INV00000050,DS001,T Nagar,High,P0050,Banana Robusta 6pcs,Fruits & Vegetables,35,High,Ambient,4,5,3,In Stock,0.9,81,81,1,4.4,2026-02-13,140
INV00000051,DS001,T Nagar,High,P0051,Apple Shimla 4pcs,Fruits & Vegetables,140,High,Ambient,3,5,3,Low Stock,0.68,61,61,0,4.4,2026-02-13,420
INV00000052,DS001,T Nagar,High,P0052,Pomegranate 1pc,Fruits & Vegetables,85,High,Ambient,7,7,3,In Stock,1.13,102,102,0,6.2,2026-02-12,595
INV00000053,DS001,T Nagar,High,P0053,Orange 500g,Fruits & Vegetables,50,High,Ambient,2,5,3,Low Stock,0.67,60,60,0,3.0,2026-02-15,100
INV00000054,DS001,T Nagar,High,P0054,Sweet Lime 500g,Fruits & Vegetables,45,High,Ambient,2,5,3,Low Stock,0.77,69,69,1,2.6,2026-02-12,90
INV00000055,DS001,T Nagar,High,P0055,Watermelon 1pc (3-4kg),Fruits & Vegetables,80,High,Ambient,4,5,3,In Stock,0.67,60,60,0,6.0,2026-02-10,320
INV00000056,DS001,T Nagar,High,P0056,Papaya 1pc,Fruits & Vegetables,45,High,Ambient,5,5,3,In Stock,0.81,73,73,0,6.2,2026-02-09,225
INV00000057,DS001,T Nagar,High,P0057,Grapes Green 500g,Fruits & Vegetables,90,High,Ambient,3,6,3,Low Stock,0.84,76,76,0,3.6,2026-02-13,270
INV00000058,DS001,T Nagar,High,P0058,Mango (Seasonal),Fruits & Vegetables,120,High,Ambient,2,5,3,Low Stock,0.76,68,68,1,2.6,2026-02-10,240
INV00000059,DS001,T Nagar,High,P0059,Pineapple 1pc,Fruits & Vegetables,55,High,Ambient,4,5,3,In Stock,0.83,75,75,0,4.8,2026-02-10,220
INV00000060,DS001,T Nagar,High,P0060,Coca Cola 750ml,Cold Drinks & Juices,40,High,Refrigerated,3,6,3,Low Stock,1.02,92,63,0,2.9,2026-02-09,120
INV00000061,DS001,T Nagar,High,P0061,Coca Cola 2.25L,Cold Drinks & Juices,95,Medium,Refrigerated,5,5,3,In Stock,0.54,49,29,2,9.3,2026-02-15,475
INV00000062,DS001,T Nagar,High,P0062,Pepsi 750ml,Cold Drinks & Juices,40,Medium,Refrigerated,5,5,3,In Stock,0.57,51,32,1,8.8,2026-02-13,200
INV00000063,DS001,T Nagar,High,P0063,Pepsi 2L,Cold Drinks & Juices,90,High,Refrigerated,9,9,3,In Stock,1.3,117,71,2,6.9,2026-02-15,810
INV00000064,DS001,T Nagar,High,P0064,Sprite 750ml,Cold Drinks & Juices,40,Medium,Refrigerated,4,5,3,In Stock,0.47,42,27,1,8.5,2026-02-15,160
INV00000065,DS001,T Nagar,High,P0065,Thumbs Up 750ml,Cold Drinks & Juices,40,Medium,Refrigerated,2,5,3,Low Stock,0.33,30,21,0,6.1,2026-02-09,80
INV00000066,DS001,T Nagar,High,P0066,Fanta 750ml,Cold Drinks & Juices,40,High,Refrigerated,7,7,3,In Stock,1.09,98,66,0,6.4,2026-02-13,280
INV00000067,DS001,T Nagar,High,P0067,Mountain Dew 750ml,Cold Drinks & Juices,40,High,Refrigerated,5,7,3,In Stock,1.08,97,66,2,4.6,2026-02-15,200
INV00000068,DS001,T Nagar,High,P0068,Thums Up 2.25L,Cold Drinks & Juices,95,High,Refrigerated,5,9,3,In Stock,1.18,106,70,0,4.2,2026-02-15,475
INV00000069,DS001,T Nagar,High,P0069,Bisleri Water 1L,Cold Drinks & Juices,20,High,Ambient,7,10,3,In Stock,1.36,122,80,0,5.1,2026-02-15,140
INV00000070,DS001,T Nagar,High,P0070,Bisleri Water 2L,Cold Drinks & Juices,35,High,Ambient,10,10,3,In Stock,1.42,128,82,0,7.0,2026-02-12,350
INV00000071,DS001,T Nagar,High,P0071,Kinley Water 1L,Cold Drinks & Juices,20,High,Ambient,10,9,3,In Stock,1.33,120,80,0,7.5,2026-02-13,200
INV00000072,DS001,T Nagar,High,P0072,Aquafina Water 1L,Cold Drinks & Juices,20,Medium,Ambient,2,5,3,Low Stock,0.69,62,43,0,2.9,2026-02-10,40
INV00000073,DS001,T Nagar,High,P0073,Red Bull Energy Drink 250ml,Cold Drinks & Juices,125,Medium,Refrigerated,4,5,3,In Stock,0.7,63,38,2,5.7,2026-02-12,500
INV00000074,DS001,T Nagar,High,P0074,Sting Energy Drink 250ml,Cold Drinks & Juices,20,Medium,Refrigerated,5,5,3,In Stock,0.63,57,38,2,7.9,2026-02-14,100
INV00000075,DS001,T Nagar,High,P0075,Monster Energy Drink 500ml,Cold Drinks & Juices,150,Medium,Refrigerated,3,5,3,Low Stock,0.37,33,23,2,8.1,2026-02-15,450
INV00000076,DS001,T Nagar,High,P0076,Real Fruit Juice Mixed Fruit 1L,Cold Drinks & Juices,130,Medium,Refrigerated,2,5,3,Low Stock,0.36,32,22,2,5.6,2026-02-09,260
INV00000077,DS001,T Nagar,High,P0077,Real Fruit Juice Mango 1L,Cold Drinks & Juices,130,High,Refrigerated,6,9,3,In Stock,1.38,124,84,1,4.3,2026-02-15,780
INV00000078,DS001,T Nagar,High,P0078,Tropicana Orange 1L,Cold Drinks & Juices,145,High,Refrigerated,5,7,3,In Stock,1.17,105,73,2,4.3,2026-02-15,725
INV00000079,DS001,T Nagar,High,P0079,Tropicana Mixed Fruit 1L,Cold Drinks & Juices,145,High,Refrigerated,12,26,7,In Stock,0.0,0,0,0,999.0,2026-02-13,1740
INV00000080,DS001,T Nagar,High,P0080,Minute Maid Pulpy Orange 400ml,Cold Drinks & Juices,45,Medium,Refrigerated,5,5,3,In Stock,0.49,44,29,2,10.2,2026-02-15,225
INV00000081,DS001,T Nagar,High,P0081,Frooti Mango Drink 160ml,Cold Drinks & Juices,10,High,Refrigerated,9,8,3,In Stock,1.42,128,82,0,6.3,2026-02-15,90
INV00000082,DS001,T Nagar,High,P0082,Frooti Mango Drink 1.2L,Cold Drinks & Juices,60,High,Refrigerated,6,9,3,In Stock,1.22,110,70,1,4.9,2026-02-13,360
INV00000083,DS001,T Nagar,High,P0083,Maaza Mango Drink 1.2L,Cold Drinks & Juices,60,High,Refrigerated,10,11,3,In Stock,1.41,127,86,1,7.1,2026-02-10,600
INV00000084,DS001,T Nagar,High,P0084,Paper Boat Aam Panna 250ml,Cold Drinks & Juices,40,Medium,Refrigerated,2,5,3,Low Stock,0.38,34,27,1,5.3,2026-02-11,80
INV00000085,DS001,T Nagar,High,P0085,Paper Boat Jaljeera 250ml,Cold Drinks & Juices,40,High,Refrigerated,6,12,3,In Stock,1.57,141,88,2,3.8,2026-02-13,240
INV00000086,DS001,T Nagar,High,P0086,Rasna Orange 750ml,Cold Drinks & Juices,35,High,Refrigerated,2,5,3,Low Stock,0.97,87,61,0,2.1,2026-02-15,70
INV00000087,DS001,T Nagar,High,P0087,Tang Instant Drink 750g,Cold Drinks & Juices,320,Medium,Refrigerated,5,5,3,In Stock,0.77,69,46,1,6.5,2026-02-11,1600
INV00000088,DS001,T Nagar,High,P0088,Nestle Iced Tea Lemon 500ml,Cold Drinks & Juices,40,High,Refrigerated,8,7,3,In Stock,1.01,91,70,0,7.9,2026-02-15,320
INV00000089,DS001,T Nagar,High,P0089,Lays Classic Salted 50g,Snacks & Munchies,20,High,Ambient,3,9,3,Low Stock,1.13,102,92,0,2.7,2026-02-11,60
INV00000090,DS001,T Nagar,High,P0090,Lays Classic Salted 90g,Snacks & Munchies,35,Medium,Ambient,4,5,3,In Stock,0.47,42,37,1,8.5,2026-02-12,140
INV00000091,DS001,T Nagar,High,P0091,Lays American Style Cream & Onion 50g,Snacks & Munchies,20,High,Ambient,2,6,3,Low Stock,0.87,78,69,2,2.3,2026-02-13,40
INV00000092,DS001,T Nagar,High,P0092,Kurkure Masala Munch 90g,Snacks & Munchies,20,High,Ambient,3,6,3,Low Stock,0.89,80,73,1,3.4,2026-02-14,60
INV00000093,DS001,T Nagar,High,P0093,Kurkure Solid Masti 90g,Snacks & Munchies,20,Medium,Ambient,3,9,3,Low Stock,0.0,0,0,0,999.0,2026-02-12,60
INV00000094,DS001,T Nagar,High,P0094,Bingo Mad Angles 72g,Snacks & Munchies,20,High,Ambient,7,8,3,In Stock,1.13,102,90,2,6.2,2026-02-10,140
INV00000095,DS001,T Nagar,High,P0095,Doritos Nacho Cheese 150g,Snacks & Munchies,75,High,Ambient,5,5,3,In Stock,1.02,92,77,2,4.9,2026-02-11,375
INV00000096,DS001,T Nagar,High,P0096,Pringles Original 107g,Snacks & Munchies,130,High,Ambient,4,5,3,In Stock,0.76,68,60,1,5.3,2026-02-15,520
INV00000097,DS001,T Nagar,High,P0097,Haldirams Aloo Bhujia 200g,Snacks & Munchies,50,High,Ambient,6,9,3,In Stock,1.16,104,86,2,5.2,2026-02-14,300
INV00000098,DS001,T Nagar,High,P0098,Haldirams Moong Dal 200g,Snacks & Munchies,55,High,Ambient,5,6,3,In Stock,0.98,88,72,0,5.1,2026-02-15,275
INV00000099,DS001,T Nagar,High,P0099,Haldirams Sev Bhujia 400g,Snacks & Munchies,95,High,Ambient,6,6,3,In Stock,0.93,84,68,1,6.5,2026-02-11,570
INV00000100,DS001,T Nagar,High,P0100,Bikaji Bhujia 200g,Snacks & Munchies,48,High,Ambient,5,7,3,In Stock,0.96,86,74,1,5.2,2026-02-15,240
INV00000101,DS001,T Nagar,High,P0101,Parle G Biscuits 376g,Snacks & Munchies,40,High,Ambient,7,7,3,In Stock,1.04,94,80,2,6.7,2026-02-12,280
INV00000102,DS001,T Nagar,High,P0102,Britannia Good Day Butter 600g,Snacks & Munchies,80,High,Ambient,5,7,3,In Stock,0.94,85,75,0,5.3,2026-02-13,400
INV00000103,DS001,T Nagar,High,P0103,Britannia Marie Gold 250g,Snacks & Munchies,32,High,Ambient,5,5,3,In Stock,0.84,76,67,2,6.0,2026-02-09,160
INV00000104,DS001,T Nagar,High,P0104,Sunfeast Dark Fantasy 300g,Snacks & Munchies,110,High,Ambient,5,5,3,In Stock,0.83,75,68,2,6.0,2026-02-15,550
INV00000105,DS001,T Nagar,High,P0105,Oreo Original 300g,Snacks & Munchies,40,High,Ambient,6,6,3,In Stock,0.91,82,72,1,6.6,2026-02-10,240
INV00000106,DS001,T Nagar,High,P0106,Hide & Seek 240g,Snacks & Munchies,50,High,Ambient,5,5,3,In Stock,0.8,72,63,2,6.2,2026-02-11,250
INV00000107,DS001,T Nagar,High,P0107,Monaco Classic 200g,Snacks & Munchies,25,Medium,Ambient,3,5,3,Low Stock,0.32,29,25,1,9.4,2026-02-13,75
INV00000108,DS001,T Nagar,High,P0108,Parle 20-20 Cashew Cookies 400g,Snacks & Munchies,55,Medium,Ambient,3,5,3,Low Stock,0.29,26,23,2,10.3,2026-02-12,165
INV00000109,DS001,T Nagar,High,P0109,Cadbury Dairy Milk Silk 60g,Snacks & Munchies,100,High,Ambient,4,5,3,In Stock,0.77,69,63,1,5.2,2026-02-14,400
INV00000110,DS001,T Nagar,High,P0110,KitKat 4 Finger 37.3g,Snacks & Munchies,40,High,Ambient,12,24,7,In Stock,0.0,0,0,0,999.0,2026-02-14,480
INV00000111,DS001,T Nagar,High,P0111,5 Star Chocolate 40g,Snacks & Munchies,25,High,Ambient,4,6,3,In Stock,0.98,88,74,0,4.1,2026-02-09,100
INV00000112,DS001,T Nagar,High,P0112,Snickers 50g,Snacks & Munchies,40,High,Ambient,4,6,3,In Stock,0.89,80,72,0,4.5,2026-02-15,160
INV00000113,DS001,T Nagar,High,P0113,Munch Chocolate 30g,Snacks & Munchies,20,High,Ambient,2,7,3,Low Stock,0.96,86,73,0,2.1,2026-02-09,40
INV00000114,DS001,T Nagar,High,P0114,Too Yumm Veggie Stix 56g,Snacks & Munchies,35,High,Ambient,2,5,3,Low Stock,0.96,86,77,1,2.1,2026-02-13,70
INV00000115,DS001,T Nagar,High,P0115,Act II Popcorn Butter 60g,Snacks & Munchies,50,High,Ambient,5,6,3,In Stock,0.88,79,72,0,5.7,2026-02-14,250
INV00000116,DS001,T Nagar,High,P0116,Cornitos Nacho Chips 150g,Snacks & Munchies,70,Medium,Ambient,2,5,3,Low Stock,0.31,28,25,2,6.5,2026-02-15,140
INV00000117,DS001,T Nagar,High,P0117,Maggi Masala Noodles 70g,Breakfast & Instant Food,14,High,Ambient,3,7,3,Low Stock,1.12,101,84,1,2.7,2026-02-14,42
INV00000118,DS001,T Nagar,High,P0118,Maggi Masala Noodles 280g (4pack),Breakfast & Instant Food,52,High,Ambient,3,5,3,Low Stock,0.81,73,59,2,3.7,2026-02-13,156
INV00000119,DS001,T Nagar,High,P0119,Maggi Atta Noodles 320g,Breakfast & Instant Food,54,Medium,Ambient,4,5,3,In Stock,0.52,47,43,1,7.7,2026-02-12,216
INV00000120,DS001,T Nagar,High,P0120,Top Ramen Curry 280g,Breakfast & Instant Food,48,Medium,Ambient,3,5,3,Low Stock,0.43,39,34,1,7.0,2026-02-10,144
INV00000121,DS001,T Nagar,High,P0121,Yippee Magic Masala 240g,Breakfast & Instant Food,42,Medium,Ambient,3,5,3,Low Stock,0.36,32,28,0,8.3,2026-02-12,126
INV00000122,DS001,T Nagar,High,P0122,Sunfeast Yippee 420g,Breakfast & Instant Food,60,High,Ambient,5,5,3,In Stock,0.74,67,61,1,6.8,2026-02-13,300
INV00000123,DS001,T Nagar,High,P0123,Knorr Chicken Soup 40g,Breakfast & Instant Food,35,High,Ambient,4,5,3,In Stock,0.97,87,74,1,4.1,2026-02-15,140
INV00000124,DS001,T Nagar,High,P0124,Knorr Hot & Sour Veg Soup 42g,Breakfast & Instant Food,35,High,Ambient,3,6,3,Low Stock,0.94,85,72,2,3.2,2026-02-14,105
INV00000125,DS001,T Nagar,High,P0125,Maggi Hot Heads 73g,Breakfast & Instant Food,25,High,Ambient,7,7,3,In Stock,0.98,88,79,1,7.1,2026-02-10,175
INV00000126,DS001,T Nagar,High,P0126,Pasta Treat Penne 500g,Breakfast & Instant Food,85,High,Ambient,6,7,3,In Stock,1.1,99,83,1,5.5,2026-02-09,510
INV00000127,DS001,T Nagar,High,P0127,MTR Idli Mix 500g,Breakfast & Instant Food,75,Medium,Ambient,2,5,3,Low Stock,0.41,37,34,1,4.9,2026-02-14,150
INV00000128,DS001,T Nagar,High,P0128,MTR Dosa Mix 500g,Breakfast & Instant Food,75,High,Ambient,7,8,3,In Stock,1.18,106,88,2,5.9,2026-02-13,525
INV00000129,DS001,T Nagar,High,P0129,MTR Rava Idli 500g,Breakfast & Instant Food,70,Medium,Ambient,2,5,3,Low Stock,0.39,35,32,2,5.1,2026-02-12,140
INV00000130,DS001,T Nagar,High,P0130,ID Fresh Idli Batter 1kg,Breakfast & Instant Food,75,Medium,Ambient,3,5,3,Low Stock,0.43,39,31,1,7.0,2026-02-11,225
INV00000131,DS001,T Nagar,High,P0131,ID Fresh Dosa Batter 1kg,Breakfast & Instant Food,75,Medium,Ambient,4,5,3,In Stock,0.5,45,37,0,8.0,2026-02-14,300
INV00000132,DS001,T Nagar,High,P0132,Saffola Masala Oats 400g,Breakfast & Instant Food,145,High,Ambient,8,9,3,In Stock,1.13,102,89,0,7.1,2026-02-13,1160
INV00000133,DS001,T Nagar,High,P0133,Quaker Oats 1kg,Breakfast & Instant Food,185,High,Ambient,6,8,3,In Stock,1.02,92,77,2,5.9,2026-02-10,1110
INV00000134,DS001,T Nagar,High,P0134,Kelloggs Corn Flakes 875g,Breakfast & Instant Food,340,High,Ambient,5,5,3,In Stock,0.96,86,77,1,5.2,2026-02-10,1700
INV00000135,DS001,T Nagar,High,P0135,Kelloggs Chocos 375g,Breakfast & Instant Food,185,High,Ambient,3,7,3,Low Stock,0.9,81,68,0,3.3,2026-02-13,555
INV00000136,DS001,T Nagar,High,P0136,Nestle Ceregrow 300g,Breakfast & Instant Food,395,Medium,Ambient,2,5,3,Low Stock,0.37,33,25,1,5.4,2026-02-11,790
INV00000137,DS001,T Nagar,High,P0137,MTR Vermicelli Roasted 440g,Breakfast & Instant Food,55,Medium,Ambient,3,5,3,Low Stock,0.48,43,38,2,6.2,2026-02-11,165
INV00000138,DS001,T Nagar,High,P0138,Bambino Vermicelli 175g,Breakfast & Instant Food,25,High,Ambient,6,6,3,In Stock,1.04,94,80,0,5.8,2026-02-14,150
INV00000139,DS001,T Nagar,High,P0139,Haldiram Moong Dal 200g,Breakfast & Instant Food,55,High,Ambient,4,5,3,In Stock,1.02,92,84,1,3.9,2026-02-15,220
INV00000140,DS001,T Nagar,High,P0140,McCain French Fries 420g,Breakfast & Instant Food,145,High,Ambient,5,5,3,In Stock,0.91,82,66,0,5.5,2026-02-11,725
INV00000141,DS001,T Nagar,High,P0141,McCain Veggie Fingers 360g,Breakfast & Instant Food,180,High,Ambient,4,5,3,In Stock,0.82,74,66,0,4.9,2026-02-12,720
INV00000142,DS001,T Nagar,High,P0142,Aashirvaad Atta 5kg,"Atta, Rice & Dal",240,High,Ambient,5,5,3,In Stock,0.67,60,54,0,7.5,2026-02-11,1200
INV00000143,DS001,T Nagar,High,P0143,Aashirvaad Atta 10kg,"Atta, Rice & Dal",475,High,Ambient,2,5,3,Low Stock,0.71,64,55,2,2.8,2026-02-15,950
INV00000144,DS001,T Nagar,High,P0144,Fortune Chakki Fresh Atta 5kg,"Atta, Rice & Dal",235,High,Ambient,4,5,3,In Stock,0.62,56,46,1,6.5,2026-02-15,940
INV00000145,DS001,T Nagar,High,P0145,Pillsbury Chakki Fresh Atta 5kg,"Atta, Rice & Dal",240,High,Ambient,2,5,3,Low Stock,0.69,62,54,2,2.9,2026-02-10,480
INV00000146,DS001,T Nagar,High,P0146,India Gate Basmati Rice 1kg,"Atta, Rice & Dal",190,Medium,Ambient,3,5,3,Low Stock,0.27,24,20,1,11.1,2026-02-15,570
INV00000147,DS001,T Nagar,High,P0147,India Gate Basmati Rice 5kg,"Atta, Rice & Dal",900,High,Ambient,2,5,3,Low Stock,0.57,51,44,1,3.5,2026-02-10,1800
INV00000148,DS001,T Nagar,High,P0148,Daawat Basmati Rice 1kg,"Atta, Rice & Dal",180,High,Ambient,3,5,3,Low Stock,0.71,64,57,0,4.2,2026-02-11,540
